"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pour chacune de ces affirmations, sélectionnez l'option qui reflète le mieux votre ressenti à propos au cours","","","","","","","","","","","","","","","","","","J'ai eu des difficultés à comprendre les sujets suivants","","","","","","","",""
"Les attentes et les objectifs sont clairement définis","La structure du cours sur GitHub est cohérente, facile d'accès et permet de retrouver rapidement les informations que je cherche","Les contenus (supports, présentations, consignes, énoncés, etc.) sont pertinents et me permettent de travailler de façon autonome","Les présentations orales sont pertinentes et permettent de mieux comprendre la matière","Lorsque j’ai rencontré des difficultés, j’ai pu trouver des réponses à mes questions (grâce aux discussions en classe, aux supports de cours, etc.)","J'apprécie la durée courte des parties théoriques au début de chaque cours","Les exemples et les exercices sont pertinents et adaptés à mon niveau","Le cours est varié, motivant et permet de ne pas m'ennuyer","Le mini-projet est pertinent et permet de mettre en pratique les éléments vus en cours","Le temps nécessaire pour réaliser le mini-projet était correct","L'évaluation 1 était pertinente, le temps adapté et la façon d'être évalué.e juste","Les cours ProgServ1 et ProgServ2 m'ont bien préparé pour le cours DévProdMéd","L'IA m'a été bénéfique pour comprendre la matière","L'IA m'a été bénéfique pour réussir l'évaluation","Je me sens capable de réaliser une application web avec Laravel en respectant les patrons de conception MVP et RESTful","J'aurais plaisir à suivre une unité d'enseignement qui reprend la même méthode d'enseignement","J'ai particulièrement apprécié...","J'ai moins apprécié et je propose...","PHP, Composer et Laravel","Bases de données, Eloquent et modèles","Vues, Blade et Tailwind CSS","Routes, paramètres et contrôleurs","Formulaires et validation","Authentification et autorisations","Architecture RESTful","Je n'ai pas eu de difficultés particulières","Autres remarques et commentaires"
"En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","","","","","","","","","","X",""
"Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","Ras","…","","","","X","","","","",""
"En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt en désaccord ★★☆☆","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","Le sujet du projet qui abordait bien tous les aspects de la matière ","la durée de l'évalutation pratique était courte ce qui à surement poussé certaines personnes à généré du code par IA par peur de ne pas finir à temps ","","","X","","","","","",""
"En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt en désaccord ★★☆☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","Le mini projet permettait vraiment de comprendre la matière ! ","Comme déjà mentionné par mes camarades, le temps pour la partie pratique de l’examen était un peu court. 
J’aurais préféré un gros projet plutôt qu’une évaluation en classe. C’est peut être difficile à mettre en place pour l’examen intermédiaire mais ce serait intéressant d’avoir un projet comme examen final. ","","","","","","","","X","Merci infiniment pour vos cours ! "
"En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Je n'ai pas d'avis/ne me concerne pas","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","J'ai beaucoup apprécié la manière dont le cour a été amené, notamment avec le mini-projet. Le fait qu'on soit guidé pas à pas avec des explications précises et qu'on effectue plusieurs fois des tâches répétitives (ex. créer une issue, etc...) m'a permis de réellement comprendre ce que je faisais et de le faire de manière plus autonome. ","Malheureusement, par manque de temps, je n'ai pas pu effectuer les exercices proposés pour chaque cour. J'ai préféré me concentrer directement sur le mini projet en lui-même.","","","","","","","","X",""
"En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","La structure du cours (tout comme pour progserv1 et progserv2).
Le fait de pouvoir utiliser l IA pour l evaluation et laisser le choix aux élèves de l utiliser ou pas tant que les règles sont respectées. (Personnellement ça m’a était très utile en tant qu aide supplémentaire, pour m accompagner durant l evaluation et pour m assurer que je n’oubliais pas une étape (faire une migration, etc…). Très bénéfique pour moi pour cette partie là que plutôt la partie du code.) ","Peut être un système de tutorats, car des fois certains points peuvent être plus complexes.
Sinon une proposition de tutorat juste avant l’évaluation (comme pour progserv1) ","","X","","","","X","","","Merci pour tout. 
Merci pour votre implication dans le cours, de toujours à checker auprès de chaque élève si tout se passe bien.
<3"
"En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","La matière est très intéressante et enrichissante pour le peu de temps dont nous disposons dans un semestre. Les points essentiels sont abordés efficacement et sont, la plupart du temps, compréhensibles. Grâce à ces bases, il est tout à fait à notre portée de créer des applications simples mais efficaces.","¯\(ツ)/¯","","","","","","X","","","j'aurais aimé aborder le thème du scheduling que j'ai brièvement exploré dans un projet perso"
"En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt en désaccord ★★☆☆","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt en désaccord ★★☆☆","En total accord ★★★★","Le support de cours comple que je vais pouvoir réutiliser à n'importe quel moment lorsque j'en aurai besoin.","Un mini-projet trop guidé et une évaluation qui ne l'était pas du tout autant. Mais je pense que ça ira mieux avec la deuxième partie du cours donc pas de soucis.","","","","","","","","X",""
"Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","Plutôt en désaccord ★★☆☆","En total désaccord ★☆☆☆","Plutôt d'accord ★★★☆","En total accord ★★★★","Le mini-projet est parfois un peu répétitif, mais aide à bien enregistrer les différentes étapes d'un développement sur Laravel et l'utilisation de GitHub.","La théorie est très pratique sur GitHub, mais il est parfois difficile de naviguer entre les cours. Peut-être intégrer des liens en début et/ou fin de la théorie ?","","X","","","","","","",""
"En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","En total accord ★★★★","Plutôt d'accord ★★★☆","En total accord ★★★★","Plutôt d'accord ★★★☆","Plutôt d'accord ★★★☆","En total accord ★★★★","En total accord ★★★★","","","","","","","","","","X",""
